File 1,File 2,Similarity Score
submission1.py,submission10.py,0.382
submission1.py,submission100.py,0.268
submission1.py,submission101.py,0.33
submission1.py,submission102.py,0.33
submission1.py,submission103.py,0.33
submission1.py,submission104.py,0.323
submission1.py,submission105.py,0.319
submission1.py,submission106.py,0.296
submission1.py,submission107.py,0.322
submission1.py,submission108.py,0.319
submission1.py,submission109.py,0.277
submission1.py,submission11.py,0.331
submission1.py,submission110.py,0.365
submission1.py,submission111.py,0.313
submission1.py,submission112.py,0.363
submission1.py,submission113.py,0.362
submission1.py,submission114.py,0.359
submission1.py,submission115.py,0.363
submission1.py,submission116.py,0.37
submission1.py,submission117.py,0.175
submission1.py,submission118.py,0.198
submission1.py,submission119.py,0.175
submission1.py,submission12.py,0.357
submission1.py,submission120.py,0.198
submission1.py,submission121.py,0.183
submission1.py,submission122.py,0.315
submission1.py,submission123.py,0.309
submission1.py,submission124.py,0.296
submission1.py,submission125.py,0.32
submission1.py,submission126.py,0.315
submission1.py,submission127.py,0.335
submission1.py,submission128.py,0.323
submission1.py,submission129.py,0.315
submission1.py,submission13.py,0.365
submission1.py,submission130.py,0.323
submission1.py,submission131.py,0.296
submission1.py,submission132.py,0.258
submission1.py,submission133.py,0.258
submission1.py,submission134.py,0.344
submission1.py,submission135.py,0.258
submission1.py,submission136.py,0.243
submission1.py,submission137.py,0.359
submission1.py,submission138.py,0.361
submission1.py,submission139.py,0.344
submission1.py,submission14.py,0.416
submission1.py,submission140.py,0.348
submission1.py,submission141.py,0.324
submission1.py,submission142.py,0.357
submission1.py,submission143.py,0.339
submission1.py,submission144.py,0.323
submission1.py,submission145.py,0.323
submission1.py,submission146.py,0.327
submission1.py,submission147.py,0.337
submission1.py,submission148.py,0.338
submission1.py,submission149.py,0.338
submission1.py,submission15.py,0.392
submission1.py,submission150.py,0.347
submission1.py,submission151.py,0.293
submission1.py,submission152.py,0.173
submission1.py,submission153.py,0.324
submission1.py,submission154.py,0.355
submission1.py,submission155.py,0.325
submission1.py,submission156.py,0.337
submission1.py,submission157.py,0.319
submission1.py,submission158.py,0.358
submission1.py,submission159.py,0.327
submission1.py,submission16.py,0.409
submission1.py,submission160.py,0.304
submission1.py,submission161.py,0.294
submission1.py,submission162.py,0.341
submission1.py,submission163.py,0.338
submission1.py,submission164.py,0.339
submission1.py,submission165.py,0.339
submission1.py,submission166.py,0.317
submission1.py,submission167.py,0.318
submission1.py,submission168.py,0.319
submission1.py,submission169.py,0.318
submission1.py,submission17.py,0.437
submission1.py,submission170.py,0.318
submission1.py,submission171.py,0.32
submission1.py,submission172.py,0.319
submission1.py,submission173.py,0.318
submission1.py,submission174.py,0.319
submission1.py,submission18.py,0.425
submission1.py,submission19.py,0.424
submission1.py,submission2.py,1.0
submission1.py,submission20.py,0.44
submission1.py,submission21.py,0.423
submission1.py,submission22.py,0.423
submission1.py,submission23.py,0.399
submission1.py,submission24.py,0.339
submission1.py,submission25.py,0.363
submission1.py,submission26.py,0.337
submission1.py,submission27.py,0.342
submission1.py,submission28.py,0.369
submission1.py,submission29.py,0.368
submission1.py,submission3.py,0.857
submission1.py,submission30.py,0.394
submission1.py,submission31.py,0.382
submission1.py,submission32.py,0.382
submission1.py,submission33.py,0.346
submission1.py,submission34.py,0.357
submission1.py,submission35.py,0.389
submission1.py,submission36.py,0.398
submission1.py,submission37.py,0.39
submission1.py,submission38.py,0.326
submission1.py,submission39.py,0.389
submission1.py,submission4.py,0.858
submission1.py,submission40.py,0.263
submission1.py,submission41.py,0.279
submission1.py,submission42.py,0.272
submission1.py,submission43.py,0.284
submission1.py,submission44.py,0.268
submission1.py,submission45.py,0.352
submission1.py,submission46.py,0.366
submission1.py,submission47.py,0.364
submission1.py,submission48.py,0.345
submission1.py,submission49.py,0.356
submission1.py,submission5.py,0.857
submission1.py,submission50.py,0.313
submission1.py,submission51.py,0.359
submission1.py,submission52.py,0.339
submission1.py,submission53.py,0.326
submission1.py,submission54.py,0.344
submission1.py,submission55.py,0.346
submission1.py,submission56.py,0.351
submission1.py,submission57.py,0.333
submission1.py,submission58.py,0.357
submission1.py,submission59.py,0.402
submission1.py,submission6.py,0.269
submission1.py,submission60.py,0.355
submission1.py,submission61.py,0.328
submission1.py,submission62.py,0.34
submission1.py,submission63.py,0.327
submission1.py,submission64.py,0.319
submission1.py,submission65.py,0.344
submission1.py,submission66.py,0.383
submission1.py,submission67.py,0.305
submission1.py,submission68.py,0.31
submission1.py,submission69.py,0.294
submission1.py,submission7.py,0.261
submission1.py,submission70.py,0.301
submission1.py,submission71.py,0.313
submission1.py,submission72.py,0.306
submission1.py,submission73.py,0.316
submission1.py,submission74.py,0.324
submission1.py,submission75.py,0.314
submission1.py,submission76.py,0.328
submission1.py,submission77.py,0.342
submission1.py,submission78.py,0.339
submission1.py,submission79.py,0.324
submission1.py,submission8.py,0.733
submission1.py,submission80.py,0.339
submission1.py,submission81.py,0.319
submission1.py,submission82.py,0.295
submission1.py,submission83.py,0.267
submission1.py,submission84.py,0.269
submission1.py,submission85.py,0.284
submission1.py,submission86.py,0.269
submission1.py,submission87.py,0.318
submission1.py,submission88.py,0.22
submission1.py,submission89.py,0.28
submission1.py,submission9.py,0.3
submission1.py,submission90.py,0.258
submission1.py,submission91.py,0.278
submission1.py,submission92.py,0.386
submission1.py,submission93.py,0.386
submission1.py,submission94.py,0.258
submission1.py,submission95.py,0.226
submission1.py,submission96.py,0.306
submission1.py,submission97.py,0.0
submission1.py,submission98.py,0.315
submission1.py,submission99.py,0.374
submission10.py,submission100.py,0.479
submission10.py,submission101.py,0.666
submission10.py,submission102.py,0.666
submission10.py,submission103.py,0.666
submission10.py,submission104.py,0.638
submission10.py,submission105.py,0.657
submission10.py,submission106.py,0.597
submission10.py,submission107.py,0.602
submission10.py,submission108.py,0.598
submission10.py,submission109.py,0.518
submission10.py,submission11.py,0.691
submission10.py,submission110.py,0.647
submission10.py,submission111.py,0.599
submission10.py,submission112.py,0.72
submission10.py,submission113.py,0.719
submission10.py,submission114.py,0.715
submission10.py,submission115.py,0.72
submission10.py,submission116.py,0.698
submission10.py,submission117.py,0.413
submission10.py,submission118.py,0.459
submission10.py,submission119.py,0.413
submission10.py,submission12.py,0.762
submission10.py,submission120.py,0.458
submission10.py,submission121.py,0.43
submission10.py,submission122.py,0.608
submission10.py,submission123.py,0.601
submission10.py,submission124.py,0.571
submission10.py,submission125.py,0.618
submission10.py,submission126.py,0.613
submission10.py,submission127.py,0.608
submission10.py,submission128.py,0.63
submission10.py,submission129.py,0.614
submission10.py,submission13.py,0.691
submission10.py,submission130.py,0.624
submission10.py,submission131.py,0.571
submission10.py,submission132.py,0.517
submission10.py,submission133.py,0.517
submission10.py,submission134.py,0.704
submission10.py,submission135.py,0.517
submission10.py,submission136.py,0.494
submission10.py,submission137.py,0.738
submission10.py,submission138.py,0.743
submission10.py,submission139.py,0.718
submission10.py,submission14.py,0.785
submission10.py,submission140.py,0.716
submission10.py,submission141.py,0.661
submission10.py,submission142.py,0.708
submission10.py,submission143.py,0.695
submission10.py,submission144.py,0.675
submission10.py,submission145.py,0.675
submission10.py,submission146.py,0.671
submission10.py,submission147.py,0.668
submission10.py,submission148.py,0.671
submission10.py,submission149.py,0.671
submission10.py,submission15.py,0.678
submission10.py,submission150.py,0.723
submission10.py,submission151.py,0.564
submission10.py,submission152.py,0.407
submission10.py,submission153.py,0.627
submission10.py,submission154.py,0.705
submission10.py,submission155.py,0.679
submission10.py,submission156.py,0.669
submission10.py,submission157.py,0.615
submission10.py,submission158.py,0.71
submission10.py,submission159.py,0.673
submission10.py,submission16.py,0.796
submission10.py,submission160.py,0.529
submission10.py,submission161.py,0.566
submission10.py,submission162.py,0.668
submission10.py,submission163.py,0.662
submission10.py,submission164.py,0.665
submission10.py,submission165.py,0.663
submission10.py,submission166.py,0.612
submission10.py,submission167.py,0.613
submission10.py,submission168.py,0.615
submission10.py,submission169.py,0.613
submission10.py,submission17.py,0.725
submission10.py,submission170.py,0.613
submission10.py,submission171.py,0.617
submission10.py,submission172.py,0.615
submission10.py,submission173.py,0.614
submission10.py,submission174.py,0.614
submission10.py,submission18.py,0.777
submission10.py,submission19.py,0.722
submission10.py,submission2.py,0.382
submission10.py,submission20.py,0.767
submission10.py,submission21.py,0.713
submission10.py,submission22.py,0.762
submission10.py,submission23.py,0.683
submission10.py,submission24.py,0.659
submission10.py,submission25.py,0.688
submission10.py,submission26.py,0.669
submission10.py,submission27.py,0.679
submission10.py,submission28.py,0.708
submission10.py,submission29.py,0.707
submission10.py,submission3.py,0.382
submission10.py,submission30.py,0.72
submission10.py,submission31.py,0.751
submission10.py,submission32.py,0.751
submission10.py,submission33.py,0.637
submission10.py,submission34.py,0.703
submission10.py,submission35.py,0.713
submission10.py,submission36.py,0.742
submission10.py,submission37.py,0.699
submission10.py,submission38.py,0.563
submission10.py,submission39.py,0.654
submission10.py,submission4.py,0.328
submission10.py,submission40.py,0.498
submission10.py,submission41.py,0.541
submission10.py,submission42.py,0.515
submission10.py,submission43.py,0.487
submission10.py,submission44.py,0.508
submission10.py,submission45.py,0.669
submission10.py,submission46.py,0.708
submission10.py,submission47.py,0.715
submission10.py,submission48.py,0.685
submission10.py,submission49.py,0.7
submission10.py,submission5.py,0.382
submission10.py,submission50.py,0.596
submission10.py,submission51.py,0.657
submission10.py,submission52.py,0.645
submission10.py,submission53.py,0.628
submission10.py,submission54.py,0.655
submission10.py,submission55.py,0.647
submission10.py,submission56.py,0.65
submission10.py,submission57.py,0.615
submission10.py,submission58.py,0.658
submission10.py,submission59.py,0.728
submission10.py,submission6.py,0.503
submission10.py,submission60.py,0.658
submission10.py,submission61.py,0.646
submission10.py,submission62.py,0.669
submission10.py,submission63.py,0.644
submission10.py,submission64.py,0.633
submission10.py,submission65.py,0.687
submission10.py,submission66.py,0.696
submission10.py,submission67.py,0.598
submission10.py,submission68.py,0.61
submission10.py,submission69.py,0.585
submission10.py,submission7.py,0.436
submission10.py,submission70.py,0.601
submission10.py,submission71.py,0.616
submission10.py,submission72.py,0.614
submission10.py,submission73.py,0.589
submission10.py,submission74.py,0.618
submission10.py,submission75.py,0.637
submission10.py,submission76.py,0.643
submission10.py,submission77.py,0.637
submission10.py,submission78.py,0.608
submission10.py,submission79.py,0.643
submission10.py,submission8.py,0.566
submission10.py,submission80.py,0.669
submission10.py,submission81.py,0.591
submission10.py,submission82.py,0.563
submission10.py,submission83.py,0.557
submission10.py,submission84.py,0.489
